Date,Weekly U.S. Product Supplied of Distillate Fuel Oil  (Thousand Barrels per Day)
2007-08-31,4215
2007-09-07,4067
2007-09-14,4030
2007-09-21,4067
2007-09-28,4275
2007-10-05,4467
2007-10-12,4163
2007-10-19,4276
2007-10-26,4156
2007-11-02,4238
2007-11-09,4520
2007-11-16,4603
2007-11-23,4330
2007-11-30,4252
2007-12-07,4340
2007-12-14,4692
2007-12-21,4652
2007-12-28,4340
2008-01-04,4223
2008-01-11,4216
2008-01-18,4347
2008-01-25,4206
2008-02-01,4169
2008-02-08,4196
2008-02-15,4825
2008-02-22,4249
2008-02-29,4322
2008-03-07,4020
2008-03-14,4342
2008-03-21,4227
2008-03-28,4232
2008-04-04,4465
2008-04-11,4068
2008-04-18,4360
2008-04-25,4136
2008-05-02,4188
2008-05-09,4124
2008-05-16,4185
2008-05-23,4078
2008-05-30,4114
2008-06-06,4025
2008-06-13,4070
2008-06-20,4040
2008-06-27,4287
2008-07-04,4272
2008-07-11,4126
2008-07-18,4077
2008-07-25,4199
2008-08-01,4152
2008-08-08,4406
2008-08-15,4087
2008-08-22,4188
2008-08-29,4348
2008-09-05,3895
2008-09-12,3728
2008-09-19,3732
2008-09-26,3888
2008-10-03,3928
2008-10-10,4004
2008-10-17,3976
2008-10-24,4037
2008-10-31,4030
2008-11-07,3925
2008-11-14,4056
2008-11-21,4086
2008-11-28,3892
2008-12-05,3672
2008-12-12,4090
2008-12-19,4102
2008-12-26,4310
2009-01-02,4318
2009-01-09,3654
2009-01-16,4082
2009-01-23,4258
2009-01-30,4220
2009-02-06,4115
2009-02-13,4359
2009-02-20,3988
2009-02-27,3764
2009-03-06,3784
2009-03-13,3721
2009-03-20,3928
2009-03-27,3653
2009-04-03,4065
2009-04-10,3769
2009-04-17,3452
2009-04-24,3441
2009-05-01,3446
2009-05-08,3625
2009-05-15,3641
2009-05-22,3636
2009-05-29,3455
2009-06-05,3572
2009-06-12,3384
2009-06-19,3383
2009-06-26,3257
2009-07-03,3039
2009-07-10,3439
2009-07-17,3455
2009-07-24,3265
2009-07-31,3426
2009-08-07,3198
2009-08-14,3466
2009-08-21,3412
2009-08-28,3497
2009-09-04,3482
2009-09-11,3355
2009-09-18,3303
2009-09-25,3409
2009-10-02,3527
2009-10-09,3557
2009-10-16,3487
2009-10-23,3637
2009-10-30,3570
2009-11-06,3543
2009-11-13,3602
2009-11-20,3661
2009-11-27,3579
2009-12-04,3320
2009-12-11,3792
2009-12-18,3988
2009-12-25,3656
2010-01-01,3546
2010-01-08,3614
2010-01-15,3823
2010-01-22,3725
2010-01-29,3659
2010-02-05,3696
2010-02-12,3787
2010-02-19,3662
2010-02-26,3829
2010-03-05,3645
2010-03-12,3762
2010-03-19,3809
2010-03-26,3646
2010-04-02,3637
2010-04-09,3583
2010-04-16,3466
2010-04-23,3597
2010-04-30,3895
2010-05-07,3890
2010-05-14,4086
2010-05-21,4021
2010-05-28,4031
2010-06-04,3903
2010-06-11,3845
2010-06-18,3784
2010-06-25,3550
2010-07-02,3949
2010-07-09,3527
2010-07-16,3358
2010-07-23,3599
2010-07-30,3464
2010-08-06,3400
2010-08-13,3674
2010-08-20,3628
